danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,audio_features,7DH5dXVuQaqcKf9oTy9oUN,spotify:track:7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/tracks/7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/audio-analysis/7DH5dXVuQaqcKf9oTy9oUN,138640,3,He'll Have to Go,Jim Reeves
0.492,0.83,7,-4.679,1,0.0394,0.0489,5.47e-06,0.693,0.658,123.286,audio_features,4L2HVN4gc7fgkbvkSHwgVZ,spotify:track:4L2HVN4gc7fgkbvkSHwgVZ,https://api.spotify.com/v1/tracks/4L2HVN4gc7fgkbvkSHwgVZ,https://api.spotify.com/v1/audio-analysis/4L2HVN4gc7fgkbvkSHwgVZ,157478,4,Cathy's Clown,The Everly Brothers
0.758,0.462,5,-8.952,0,0.0482,0.79,1.25e-05,0.17,0.726,120.004,audio_features,60DbxCJXFG9ZryHHvUPTXG,spotify:track:60DbxCJXFG9ZryHHvUPTXG,https://api.spotify.com/v1/tracks/60DbxCJXFG9ZryHHvUPTXG,https://api.spotify.com/v1/audio-analysis/60DbxCJXFG9ZryHHvUPTXG,160027,4,Running Bear,Johnny Preston
0.583,0.168,0,-12.426,1,0.035,0.869,0.0,0.148,0.349,97.572,audio_features,7GvhZ0F7cMBwpv7QzeGABf,spotify:track:7GvhZ0F7cMBwpv7QzeGABf,https://api.spotify.com/v1/tracks/7GvhZ0F7cMBwpv7QzeGABf,https://api.spotify.com/v1/audio-analysis/7GvhZ0F7cMBwpv7QzeGABf,157080,4,Teen Angel,Mark Dinning
0.632,0.437,4,-11.912,1,0.0367,0.531,0.000373,0.6,0.76,126.34,audio_features,1sMNaYUuPUHnYrLYKc9EkN,spotify:track:1sMNaYUuPUHnYrLYKc9EkN,https://api.spotify.com/v1/tracks/1sMNaYUuPUHnYrLYKc9EkN,https://api.spotify.com/v1/audio-analysis/1sMNaYUuPUHnYrLYKc9EkN,195187,4,It's Now or Never,Elvis Presley
0.499,0.579,10,-11.035,1,0.0428,0.552,0.0,0.272,0.853,148.543,audio_features,59iwhSAXb8TpIOj7cPOkSw,spotify:track:59iwhSAXb8TpIOj7cPOkSw,https://api.spotify.com/v1/tracks/59iwhSAXb8TpIOj7cPOkSw,https://api.spotify.com/v1/audio-analysis/59iwhSAXb8TpIOj7cPOkSw,117000,4,Handy Man,Jimmy Jones
0.646,0.49,7,-12.274,1,0.05,0.703,3.31e-05,0.116,0.962,131.56,audio_features,3up3WzVxOQP2gMAFAMfl3A,spotify:track:3up3WzVxOQP2gMAFAMfl3A,https://api.spotify.com/v1/tracks/3up3WzVxOQP2gMAFAMfl3A,https://api.spotify.com/v1/audio-analysis/3up3WzVxOQP2gMAFAMfl3A,144587,4,Stuck on You,Elvis Presley
0.524,0.713,4,-12.848,1,0.0314,0.0188,0.0058,0.0402,0.974,155.033,audio_features,0M5EaPIXN3FneJ7exwpYNM,spotify:track:0M5EaPIXN3FneJ7exwpYNM,https://api.spotify.com/v1/tracks/0M5EaPIXN3FneJ7exwpYNM,https://api.spotify.com/v1/audio-analysis/0M5EaPIXN3FneJ7exwpYNM,158560,4,The Twist - Rerecorded,Chubby Checker
0.474,0.706,1,-5.868,1,0.0329,0.666,2.06e-06,0.231,0.862,168.165,audio_features,1c76zkDkV61Hw7jybzWuf7,spotify:track:1c76zkDkV61Hw7jybzWuf7,https://api.spotify.com/v1/tracks/1c76zkDkV61Hw7jybzWuf7,https://api.spotify.com/v1/audio-analysis/1c76zkDkV61Hw7jybzWuf7,158760,4,Everybody's Somebody's Fool,Connie Francis
0.629,0.679,7,-7.908,1,0.0318,0.395,3.09e-05,0.0947,0.864,151.657,audio_features,1aOWQh759ZSHiAdt8jEqLV,spotify:track:1aOWQh759ZSHiAdt8jEqLV,https://api.spotify.com/v1/tracks/1aOWQh759ZSHiAdt8jEqLV,https://api.spotify.com/v1/audio-analysis/1aOWQh759ZSHiAdt8jEqLV,136947,4,Wild One,Bobby Rydell
0.485,0.182,11,-18.083,0,0.0434,0.852,0.0,0.112,0.357,110.608,audio_features,7F3R0rKXq5eYgPug8vqOdu,spotify:track:7F3R0rKXq5eYgPug8vqOdu,https://api.spotify.com/v1/tracks/7F3R0rKXq5eYgPug8vqOdu,https://api.spotify.com/v1/audio-analysis/7F3R0rKXq5eYgPug8vqOdu,183360,1,Greenfields,The Brothers Four
0.396,0.237,4,-15.723,1,0.0406,0.762,0.0029,0.149,0.52,74.553,audio_features,4Cn4BUIv3TS0uZG45YXvUP,spotify:track:4Cn4BUIv3TS0uZG45YXvUP,https://api.spotify.com/v1/tracks/4Cn4BUIv3TS0uZG45YXvUP,https://api.spotify.com/v1/audio-analysis/4Cn4BUIv3TS0uZG45YXvUP,165987,4,What In The World's Come Over You - Re-Recording,Jack Scott
