danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.854,0.673,4,-3.132,0,0.185,0.038,0.000227,0.255,0.955,95.0,audio_features,1Lhwn4PqeGpM4LTVUowW76,spotify:track:1Lhwn4PqeGpM4LTVUowW76,https://api.spotify.com/v1/tracks/1Lhwn4PqeGpM4LTVUowW76,https://api.spotify.com/v1/audio-analysis/1Lhwn4PqeGpM4LTVUowW76,337733,4,You Rock My World,Michael Jackson
0.545,0.485,9,-8.045,1,0.0485,0.537,1.8e-06,0.104,0.101,80.948,audio_features,7woW97CfcWaKtuC6W5BP2K,spotify:track:7woW97CfcWaKtuC6W5BP2K,https://api.spotify.com/v1/tracks/7woW97CfcWaKtuC6W5BP2K,https://api.spotify.com/v1/audio-analysis/7woW97CfcWaKtuC6W5BP2K,384307,4,Heal the World,Michael Jackson
0.51,0.515,5,-7.247,1,0.0253,0.593,1.24e-06,0.654,0.331,93.212,audio_features,5RdhBLmB4DyFHLglRrfx63,spotify:track:5RdhBLmB4DyFHLglRrfx63,https://api.spotify.com/v1/tracks/5RdhBLmB4DyFHLglRrfx63,https://api.spotify.com/v1/audio-analysis/5RdhBLmB4DyFHLglRrfx63,237760,4,I'll Be There,The Jackson 5
0.748,0.717,0,-10.084,1,0.0384,0.434,0.0,0.129,0.943,113.394,audio_features,3IuNNnc5rCdyPnYc5cSXjO,spotify:track:3IuNNnc5rCdyPnYc5cSXjO,https://api.spotify.com/v1/tracks/3IuNNnc5rCdyPnYc5cSXjO,https://api.spotify.com/v1/audio-analysis/3IuNNnc5rCdyPnYc5cSXjO,186093,4,The Love You Save,The Jackson 5
0.358,0.341,7,-9.61,1,0.0302,0.773,0.000143,0.193,0.39,80.2,audio_features,6CheRswRZOyRyaYIeeFloE,spotify:track:6CheRswRZOyRyaYIeeFloE,https://api.spotify.com/v1/tracks/6CheRswRZOyRyaYIeeFloE,https://api.spotify.com/v1/audio-analysis/6CheRswRZOyRyaYIeeFloE,240240,3,Who's Loving You,The Jackson 5
0.519,0.801,2,-8.064,1,0.0408,0.268,0.0,0.173,0.891,166.632,audio_features,1W51a25vcNYcO3d4oM62L6,spotify:track:1W51a25vcNYcO3d4oM62L6,https://api.spotify.com/v1/tracks/1W51a25vcNYcO3d4oM62L6,https://api.spotify.com/v1/audio-analysis/1W51a25vcNYcO3d4oM62L6,180867,4,Never Can Say Goodbye - Single Version,The Jackson 5
0.545,0.642,8,-6.535,0,0.0379,0.571,3.44e-06,0.0881,0.511,121.654,audio_features,5GoheMjTcV8xbbUUWchvjl,spotify:track:5GoheMjTcV8xbbUUWchvjl,https://api.spotify.com/v1/tracks/5GoheMjTcV8xbbUUWchvjl,https://api.spotify.com/v1/audio-analysis/5GoheMjTcV8xbbUUWchvjl,192813,4,All I Do Is Think Of You,The Jackson 5
0.619,0.706,9,-6.391,0,0.197,0.101,2.62e-05,0.394,0.777,204.147,audio_features,3D97kRhZprR6RumFhDFIr4,spotify:track:3D97kRhZprR6RumFhDFIr4,https://api.spotify.com/v1/tracks/3D97kRhZprR6RumFhDFIr4,https://api.spotify.com/v1/audio-analysis/3D97kRhZprR6RumFhDFIr4,201467,4,Enjoy Yourself,The Jacksons
0.754,0.759,8,-6.781,1,0.091,0.0699,0.0,0.105,0.87,113.419,audio_features,0ryUadrXsahO3mASlKUJlT,spotify:track:0ryUadrXsahO3mASlKUJlT,https://api.spotify.com/v1/tracks/0ryUadrXsahO3mASlKUJlT,https://api.spotify.com/v1/audio-analysis/0ryUadrXsahO3mASlKUJlT,210533,4,Blame It on the Boogie,The Jacksons
0.774,0.803,0,-4.959,1,0.0877,0.0307,0.0,0.347,0.813,117.779,audio_features,6lSVidZXCnOnYAWcgIqVDF,spotify:track:6lSVidZXCnOnYAWcgIqVDF,https://api.spotify.com/v1/tracks/6lSVidZXCnOnYAWcgIqVDF,https://api.spotify.com/v1/audio-analysis/6lSVidZXCnOnYAWcgIqVDF,224893,4,Shake Your Body (Down to the Ground) - Single Edit,The Jacksons
