uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,artist
spotify:track:7ytR5pFWmSjzHJIeQkgog4,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4,ROCKSTAR (feat. Roddy Ricch),"DaBaby,Roddy Ricch"
spotify:track:3wTlriqyGE7UX1bebRBtR8,0.95,0.574,11,-7.969,0,0.251,0.0973,0.000274,0.0801,0.656,106.042,141509,4,bad to the bone,"bbno$,lentra"
spotify:track:0lks2Kt9veMOFEAPN0fsqN,0.423,0.634,6,-5.877,0,0.0578,0.196,0.0,0.189,0.467,150.978,195840,4,Lily,"Alan Walker,K-391,Emelie Hollow"
spotify:track:0hTrQoqDmFnA4S1PC265e1,0.597,0.581,1,-4.565,0,0.0366,0.59,4.38e-06,0.137,0.212,147.987,194268,4,Fly Away,"TheFatRat,Anjulie"
spotify:track:6zAiRKvAMlXHxEtyO4yxIO,0.42,0.723,10,-6.86,0,0.175,0.0638,1.17e-05,0.123,0.288,167.806,197634,4,Phoenix,"League of Legends,Cailin Russo,Chrissy Costanza"
spotify:track:3UEnF6y5tyHVtMzldS3svp,0.62,0.864,5,-4.334,0,0.114,0.0323,0.0,0.117,0.395,98.059,228980,4,Everything Black,"Unlike Pluto,Mike Taylor"
spotify:track:0PvFJmanyNQMseIFrU708S,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,190476,4,For The Night (feat. Lil Baby & DaBaby),"Pop Smoke,Lil Baby,DaBaby"
spotify:track:127QTOFJsJQp5LbJbu3A1y,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059,4,Toosie Slide,Drake
spotify:track:4jp4Z02kzzg8gK0NmDGgml,0.52,0.798,6,-5.498,0,0.0391,0.101,0.0,0.0932,0.168,101.944,167977,4,Play,"K-391,Alan Walker,Tungevaag,Mangoo"
spotify:track:3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,4,Breaking Me,"Topic,A7S"
spotify:track:3EikYy40GMSp8l5mDV6IQo,0.881,0.623,1,-9.662,1,0.119,0.257,1.5e-06,0.0964,0.745,88.953,129547,4,Foot Fungus,Ski Mask The Slump God
spotify:track:2MbdDtCv5LUVjYy9RuGTgC,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow,Tory Lanez,DaBaby,Lil Wayne"
spotify:track:3uKNoYPEy588darPCXlZxf,0.567,0.564,1,-8.121,1,0.0467,0.00108,0.00315,0.112,0.621,180.084,217333,1,Run It,"League of Legends,Thutmose,Cal Scruby"
spotify:track:65OVbaJR5O1RmwOQx0875b,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956,4,Wants and Needs (feat. Lil Baby),"Drake,Lil Baby"
spotify:track:3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4,HIGHEST IN THE ROOM,Travis Scott
spotify:track:43CIWpJaJHRcI4mUSjqgc2,0.697,0.674,1,-6.326,1,0.0533,0.00215,0.0,0.138,0.198,81.535,157355,4,Bad Boy (with Young Thug),"Juice WRLD,Young Thug"
spotify:track:39Yp9wwQiSRIDOvrVg7mbk,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,165978,4,THE SCOTTS,"THE SCOTTS,Travis Scott,Kid Cudi"
spotify:track:1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,171375,4,Savage Love (Laxed - Siren Beat),"Jawsh 685,Jason Derulo"
spotify:track:3aQem4jVGdhtg116TmJnHz,0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,129.895,178154,4,What’s Next,Drake
spotify:track:7JuHVG3qQKQKxC4doneXVW,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,184490,4,Back In Blood (feat. Lil Durk),"Pooh Shiesty,Lil Durk"
spotify:track:4Iedi94TIaB2GGb1nMB68v,0.856,0.564,6,-6.295,0,0.392,0.00327,0.0,0.134,0.483,77.972,135960,4,On Me,Lil Baby
spotify:track:2Lr9sAuH6FJooeT0fY1yXB,0.938,0.355,1,-7.075,1,0.413,0.0258,0.0,0.118,0.511,134.096,154718,4,Rule #1 (feat. Lil Yachty),"DDG,OG Parker,Lil Yachty"
spotify:track:3JVTsvTldB6arHVlmxmTnM,0.831,0.727,8,-3.657,0,0.169,0.447,0.0,0.111,0.703,125.068,213080,4,Company (feat. Future),"24kGoldn,Future"
spotify:track:4FRW5Nza1Ym91BGV4nFWXI,0.77,0.637,1,-5.53,1,0.345,0.103,0.0,0.171,0.431,94.966,383037,4,Lemon Pepper Freestyle (feat. Rick Ross),"Drake,Rick Ross"
spotify:track:59fFsGRwFiuhxKDPc1k6xW,0.829,0.343,2,-4.937,0,0.102,0.00734,0.0,0.179,0.312,78.035,135431,4,Opp Stoppa (feat. 21 Savage),"YBN Nahmir,21 Savage"
