danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.726,0.449,0,-9.206,1,0.0286,0.487,1.34e-06,0.0824,0.294,130.388,audio_features,5tzbM8m70V977Ezpfk8IPS,spotify:track:5tzbM8m70V977Ezpfk8IPS,https://api.spotify.com/v1/tracks/5tzbM8m70V977Ezpfk8IPS,https://api.spotify.com/v1/audio-analysis/5tzbM8m70V977Ezpfk8IPS,241333,4,Time After Time,Cyndi Lauper
0.858,0.749,10,-10.577,0,0.0887,0.109,1.59e-05,0.145,0.872,134.386,audio_features,2TIKxe1afsEcYWBvyTgQt3,spotify:track:2TIKxe1afsEcYWBvyTgQt3,https://api.spotify.com/v1/tracks/2TIKxe1afsEcYWBvyTgQt3,https://api.spotify.com/v1/audio-analysis/2TIKxe1afsEcYWBvyTgQt3,262467,4,Jump (For My Love) - Single Remix,The Pointer Sisters
0.734,0.821,9,-11.586,0,0.0329,0.0208,0.000103,0.0932,0.981,129.771,audio_features,08JKuFJCHJVw1SgHHjwsS9,spotify:track:08JKuFJCHJVw1SgHHjwsS9,https://api.spotify.com/v1/tracks/08JKuFJCHJVw1SgHHjwsS9,https://api.spotify.com/v1/audio-analysis/08JKuFJCHJVw1SgHHjwsS9,234867,4,Talking in Your Sleep,The Romantics
0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,audio_features,6JNJERZGJwDVgkmbohBw7u,spotify:track:6JNJERZGJwDVgkmbohBw7u,https://api.spotify.com/v1/tracks/6JNJERZGJwDVgkmbohBw7u,https://api.spotify.com/v1/audio-analysis/6JNJERZGJwDVgkmbohBw7u,246440,4,Self Control,Laura Branigan
0.309,0.93,11,-6.399,1,0.125,0.0192,0.0022,0.106,0.376,195.815,audio_features,6BkX6DnUG80xPlBfb2zmrZ,spotify:track:6BkX6DnUG80xPlBfb2zmrZ,https://api.spotify.com/v1/tracks/6BkX6DnUG80xPlBfb2zmrZ,https://api.spotify.com/v1/audio-analysis/6BkX6DnUG80xPlBfb2zmrZ,280000,4,Let's Go Crazy,Prince
0.769,0.595,4,-11.796,0,0.028,0.0588,0.0,0.18,0.969,113.971,audio_features,2bZswvNGESo7MKeg7SQ9rp,spotify:track:2bZswvNGESo7MKeg7SQ9rp,https://api.spotify.com/v1/tracks/2bZswvNGESo7MKeg7SQ9rp,https://api.spotify.com/v1/audio-analysis/2bZswvNGESo7MKeg7SQ9rp,256673,4,Say It Isn't So,Daryl Hall & John Oates
0.789,0.738,7,-5.693,1,0.0327,0.694,7.36e-06,0.136,0.862,108.239,audio_features,0b5eH3euyAs3pyfoebeWaZ,spotify:track:0b5eH3euyAs3pyfoebeWaZ,https://api.spotify.com/v1/tracks/0b5eH3euyAs3pyfoebeWaZ,https://api.spotify.com/v1/audio-analysis/0b5eH3euyAs3pyfoebeWaZ,286733,4,Hold Me Now,Thompson Twins
0.544,0.777,10,-10.163,1,0.0482,0.241,0.00219,0.883,0.684,116.395,audio_features,38OkyePa219s8OK4zEiKrT,spotify:track:38OkyePa219s8OK4zEiKrT,https://api.spotify.com/v1/tracks/38OkyePa219s8OK4zEiKrT,https://api.spotify.com/v1/audio-analysis/38OkyePa219s8OK4zEiKrT,216320,4,Joanna,Kool & The Gang
0.748,0.551,1,-8.624,1,0.0235,0.198,0.0,0.0978,0.662,113.524,audio_features,6VAKyYoJQu1hwjWNvxQVTt,spotify:track:6VAKyYoJQu1hwjWNvxQVTt,https://api.spotify.com/v1/tracks/6VAKyYoJQu1hwjWNvxQVTt,https://api.spotify.com/v1/audio-analysis/6VAKyYoJQu1hwjWNvxQVTt,260613,4,I Just Called To Say I Love You,Stevie Wonder
0.774,0.626,1,-6.821,0,0.0317,0.123,4.01e-05,0.125,0.885,124.131,audio_features,7ozMJf8OMc9vRcZmAN8wPt,spotify:track:7ozMJf8OMc9vRcZmAN8wPt,https://api.spotify.com/v1/tracks/7ozMJf8OMc9vRcZmAN8wPt,https://api.spotify.com/v1/audio-analysis/7ozMJf8OMc9vRcZmAN8wPt,237027,4,Somebody's Watching Me,Rockwell
0.901,0.654,10,-10.15,1,0.0655,0.2,0.0,0.165,0.781,110.131,audio_features,2ZqT3GcisHUBsEaqhLGHwU,spotify:track:2ZqT3GcisHUBsEaqhLGHwU,https://api.spotify.com/v1/tracks/2ZqT3GcisHUBsEaqhLGHwU,https://api.spotify.com/v1/audio-analysis/2ZqT3GcisHUBsEaqhLGHwU,180240,4,Break My Stride,Matthew Wilder
0.759,0.675,3,-14.366,0,0.0422,0.0261,0.0341,0.431,0.866,127.522,audio_features,179SfVFJ0ZN41toTxnpgRD,spotify:track:179SfVFJ0ZN41toTxnpgRD,https://api.spotify.com/v1/tracks/179SfVFJ0ZN41toTxnpgRD,https://api.spotify.com/v1/audio-analysis/179SfVFJ0ZN41toTxnpgRD,543560,4,The Glamorous Life,Sheila E.
0.577,0.665,5,-5.572,1,0.0285,0.312,8.89e-05,0.138,0.305,101.807,audio_features,3wqoAzrr5htxSZ7KzxhLHg,spotify:track:3wqoAzrr5htxSZ7KzxhLHg,https://api.spotify.com/v1/tracks/3wqoAzrr5htxSZ7KzxhLHg,https://api.spotify.com/v1/audio-analysis/3wqoAzrr5htxSZ7KzxhLHg,228800,4,Oh Sherrie,Steve Perry
0.514,0.303,5,-17.269,1,0.0301,0.367,6.24e-05,0.101,0.22,131.705,audio_features,3L9SXYL2XOl0JJ754YgBsS,spotify:track:3L9SXYL2XOl0JJ754YgBsS,https://api.spotify.com/v1/tracks/3L9SXYL2XOl0JJ754YgBsS,https://api.spotify.com/v1/audio-analysis/3L9SXYL2XOl0JJ754YgBsS,191493,4,Stuck On You,Lionel Richie
0.645,0.704,0,-7.005,1,0.0301,0.363,0.000193,0.213,0.606,120.552,audio_features,4kwFh3RBxE5n9a6FwFw2tl,spotify:track:4kwFh3RBxE5n9a6FwFw2tl,https://api.spotify.com/v1/tracks/4kwFh3RBxE5n9a6FwFw2tl,https://api.spotify.com/v1/audio-analysis/4kwFh3RBxE5n9a6FwFw2tl,284200,3,I Guess That's Why They Call It The Blues,Elton John
0.583,0.891,9,-4.565,0,0.0345,0.00088,0.000163,0.103,0.814,136.794,audio_features,4mhIed8oGCswH4d5pxClnv,spotify:track:4mhIed8oGCswH4d5pxClnv,https://api.spotify.com/v1/tracks/4mhIed8oGCswH4d5pxClnv,https://api.spotify.com/v1/audio-analysis/4mhIed8oGCswH4d5pxClnv,229267,4,She Bop,Cyndi Lauper
0.686,0.609,10,-11.469,0,0.0444,0.258,0.00015,0.113,0.719,127.736,audio_features,1QbQL5m30YNvukitIqAnFG,spotify:track:1QbQL5m30YNvukitIqAnFG,https://api.spotify.com/v1/tracks/1QbQL5m30YNvukitIqAnFG,https://api.spotify.com/v1/audio-analysis/1QbQL5m30YNvukitIqAnFG,320528,4,Sunglasses At Night,Corey Hart
0.342,0.723,9,-8.0,1,0.0517,0.00666,0.13,0.157,0.59,83.433,audio_features,7pzVqCZdYKM7oEPwaiQchB,spotify:track:7pzVqCZdYKM7oEPwaiQchB,https://api.spotify.com/v1/tracks/7pzVqCZdYKM7oEPwaiQchB,https://api.spotify.com/v1/audio-analysis/7pzVqCZdYKM7oEPwaiQchB,298280,4,Eyes Without A Face - Remastered,Billy Idol
