uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,name,artist
spotify:track:179PPAcXfZBkWGkDMSzJSQ,0.768,0.133,8,-19.502,1,0.956,0.901,0.0,0.666,0.267,103.461,50355,3,Spiritual Love,Ghizela Rowe
spotify:track:4VJ69aQJF8QbCWdu8CaEz4,0.687,0.322,8,-22.5,1,0.922,0.472,0.0,0.415,0.43,142.402,130566,5,A Rare Guest,Richard Mitchley
spotify:track:6zCe1gquQqXMd57KGA194k,0.746,0.17,9,-16.958,1,0.939,0.861,0.0,0.567,0.37,73.455,108135,1,A Voice from the West,Ghizela Rowe
spotify:track:25yneCoRaupUxm6eWegqoh,0.685,0.27,10,-22.678,1,0.913,0.584,0.0,0.106,0.54,143.004,94134,5,In Praise of England,Richard Mitchley
spotify:track:5GUmIjg1NOrnG13E81vtq6,0.655,0.137,11,-18.547,1,0.944,0.821,0.0,0.353,0.266,89.57,180082,4,How Florence Rings Her Bells,Ghizela Rowe
spotify:track:4Onm5bReMxnhdBkrKwINyx,0.692,0.161,9,-21.903,1,0.907,0.61,0.0,0.103,0.681,102.146,130426,5,A March Minstrel,Richard Mitchley
spotify:track:2TqQRKUqFia7qM8ot6x3VS,0.714,0.199,11,-19.82,0,0.931,0.652,0.0,0.121,0.74,90.323,233273,4,An April Fool,Richard Mitchley
spotify:track:5txUDXFuF7XlMva5li1Vwz,0.636,0.0827,6,-20.429,1,0.95,0.772,0.0,0.455,0.349,163.545,53824,3,Forgiveness,Ghizela Rowe
spotify:track:35Mzc0RI2lFYxoTworMvox,0.721,0.117,2,-23.579,1,0.935,0.569,0.0,0.279,0.664,120.427,48147,3,An April Love,Richard Mitchley
spotify:track:3Nc397jjiTPkzq2qJ2WzgB,0.703,0.0797,8,-24.189,1,0.902,0.512,0.0,0.0972,0.582,108.948,107369,3,Agetha,Tim Graham
spotify:track:2UI01T8TzLxEmyU1f4PZyw,0.69,0.291,4,-23.594,1,0.943,0.639,0.0,0.152,0.55,79.065,117238,3,In Sutton Woods,Richard Mitchley
spotify:track:1PgDzrqyBHks2QXIqQaDXq,0.729,0.152,1,-23.0,0,0.933,0.709,0.0,0.0953,0.659,113.266,114335,4,A Night in June,Richard Mitchley
spotify:track:3KOq9A3ANzZXfnjQISLYkI,0.812,0.117,8,-21.518,1,0.951,0.846,0.0,0.404,0.338,44.486,51966,4,Resignation,Ghizela Rowe
spotify:track:62z2Edh1sHrT9LhFZx4fyv,0.844,0.117,0,-23.349,0,0.815,0.513,0.0,0.165,0.938,54.498,31733,5,Give Me October's Meditative Haze,Richard Mitchley
spotify:track:6YrauRJkt6oZl1QGZnmfbk,0.73,0.13,2,-22.457,1,0.95,0.62,0.0,0.138,0.696,82.684,63806,4,A November Note,Richard Mitchley
spotify:track:2Mp3qC5UTqUsGXTYPBoXoX,0.644,0.0789,5,-20.435,0,0.936,0.877,0.0,0.565,0.305,86.113,58445,3,Sorrow's Importunity,Ghizela Rowe
spotify:track:0LERVMnuU0uji9lX6cvozs,0.713,0.249,9,-19.744,1,0.934,0.69,0.0,0.13,0.666,111.004,159254,3,December Matins,Richard Mitchley
spotify:track:5uhqgQHfwawFuilyRRkGOm,0.719,0.131,7,-19.626,0,0.939,0.844,0.0,0.25,0.296,113.954,232641,3,The Passing of the Century,Ghizela Rowe
spotify:track:6UErAU82mNQzaKrLSXSZUH,0.755,0.322,10,-25.975,1,0.933,0.749,0.0,0.169,0.581,82.626,19632,5,Winter Violets,Richard Mitchley
spotify:track:2cBfJF4jhlOcXwXP294Opi,0.685,0.302,10,-24.339,0,0.919,0.731,0.0,0.269,0.565,100.125,89258,4,My Winter Rose,Richard Mitchley
spotify:track:2yFJ8VUHCX0JQsK0UowSr5,0.731,0.137,2,-21.122,1,0.951,0.727,0.0,0.492,0.198,94.567,70972,4,A Wild Rose,Ghizela Rowe
spotify:track:30YB246oFbYSpN5gMw6IjW,0.723,0.308,10,-20.974,1,0.885,0.464,0.0,0.138,0.524,115.375,285141,5,A Captive Throstle,Richard Mitchley
spotify:track:0PG6lAkvoM3xVVQEZ7uF4S,0.693,0.12,7,-18.09,0,0.931,0.83,0.0,0.242,0.358,100.974,125550,3,Free,Ghizela Rowe
spotify:track:7gsxqRAhaK4TbG2ffiLTsc,0.726,0.278,8,-21.577,1,0.948,0.47,0.0,0.177,0.647,82.172,49528,1,A Farewell to Youth,Richard Mitchley
spotify:track:2X5UIwEpm5vmOS2NU4PDVq,0.724,0.131,0,-20.448,1,0.948,0.855,0.0,0.317,0.376,113.633,51775,1,A Sleepless Night,Ghizela Rowe
spotify:track:2l91dXYz76c52j9wlu2ucS,0.679,0.283,0,-20.773,1,0.948,0.495,0.0,0.348,0.558,66.603,110109,5,By the Fates,Richard Mitchley
spotify:track:1B3ne0u52Jg2ObzO9wupSd,0.719,0.12,8,-19.478,1,0.947,0.94,0.0,0.22,0.373,117.557,50852,1,Gleaners of Fame,Ghizela Rowe
spotify:track:0kK3MNJuV85WGQKG8jCFAf,0.767,0.218,0,-17.847,0,0.962,0.863,0.0,0.345,0.553,71.642,49345,3,Songs from Lucifer,Tim Graham
spotify:track:3iCDn8GuJRtuWfGoi8Efa1,0.613,0.134,3,-21.385,1,0.96,0.77,0.0,0.283,0.192,76.022,307519,4,The Silent Muse,Ghizela Rowe
spotify:track:0BDrWjnfl91b0HoUFzDuJD,0.629,0.28,9,-17.552,0,0.952,0.697,0.0,0.161,0.662,174.682,60528,4,Song,Richard Mitchley
spotify:track:54MIuio2pk7yLwCMA1dmM7,0.757,0.058,7,-22.967,1,0.923,0.682,0.0,0.612,0.386,132.005,83511,5,"Aubrey Beardsley - The Three Musicians, The First Version",Ghizela Rowe
spotify:track:6yauYHxyMBVguRFzHXsBUh,0.712,0.0892,0,-24.385,1,0.946,0.639,0.0,0.184,0.317,112.222,55124,4,"Aubrey Beardsley - The Three Musicians, The Published Version",Ghizela Rowe
spotify:track:6CJ98BJAuZD9zQU5bJybK6,0.704,0.234,9,-19.061,1,0.953,0.564,0.0,0.0929,0.505,77.4,291116,3,A Curse For A Nation By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:4TGaeYAVduoZj3fDlQ7Bzw,0.661,0.0378,2,-22.97,1,0.916,0.789,0.0,0.159,0.307,93.437,246561,1,The House Of Clouds By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:6emrpYwcvVIwLaVk6BW2h9,0.685,0.203,3,-20.862,1,0.889,0.608,0.0,0.145,0.841,99.076,55333,3,William Scawen Blunt - The Idlers Calender - April - Trout Fishing,Richard Mitchley
spotify:track:5nDutywxmQtufRdPeiUlki,0.752,0.171,2,-19.484,1,0.947,0.6,0.0,0.355,0.582,104.052,52616,5,Wilford Scawen Blunt - The Idlers Calender - June,Richard Mitchley
spotify:track:1M13gcm20ZhKbHxeRvuzn9,0.632,0.29,2,-18.927,1,0.955,0.444,0.0,0.295,0.74,170.499,59188,3,Wilfred Scawen Blunt - The Idlers Calendar - December,Richard Mitchley
spotify:track:1R5XBO2Nqu38f13l2FvBDd,0.722,0.193,2,-21.212,1,0.889,0.69,0.0,0.205,0.605,126.206,659322,4,The Runaway Slave At Pilgrim's Point By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:4DgPAViumlNmGOA3uockYw,0.675,0.0774,0,-21.244,0,0.951,0.793,0.0,0.139,0.355,146.99,53638,1,Comfort By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:5I6zfgQb8dcBY1HabRuMzN,0.742,0.144,0,-22.878,0,0.86,0.642,0.0,0.118,0.658,109.454,100913,4,Chorus Of Eden Spirits By Elizabeth Barrett Browning SPELL,Elizabeth Barrett Browning
spotify:track:6zgorMEUO6cuJ1bnm907cS,0.715,0.0469,7,-19.935,0,0.83,0.817,0.0,0.141,0.473,122.205,109529,4,The Autumn By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:1VBwChIuFk6RhLkvlhOQJ0,0.721,0.275,9,-20.779,1,0.902,0.783,0.0,0.0904,0.707,115.893,106810,5,A Musicial Instrument By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:2MeuU5Ej8ydvK6pOqDdtVV,0.73,0.146,8,-24.276,1,0.967,0.721,0.0,0.297,0.262,86.839,74966,4,To My Father On His Birthday - Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:1XEBFB3YjDi79aD0Iy8oOW,0.72,0.112,8,-22.886,1,0.96,0.733,0.0,0.275,0.512,122.13,63164,3,Aurora Leigh (Excerpts) - Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:2ngybYR536AtG33tTBwPfV,0.712,0.0466,11,-26.737,0,0.886,0.754,4.28e-05,0.26,0.284,120.406,54174,3,A Thought For A Lonly Death Bed - Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:1DbeCKMqfCQX976CkqGiS5,0.713,0.152,2,-20.792,1,0.931,0.738,0.0,0.397,0.744,112.614,67451,4,The Ladies Yes By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:1mGpVIQjkqFrEM6xCY9aau,0.624,0.08,11,-21.806,0,0.935,0.781,0.0,0.455,0.33,78.727,148201,4,My Heart & I By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:4Tb8dL7VjQPfPc1wrqJxTm,0.718,0.226,9,-20.25,1,0.942,0.695,0.0,0.125,0.595,124.172,98140,3,A Man's Requirements By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:06Am1qshbnfWRpYilCbBD3,0.705,0.0944,3,-22.249,1,0.933,0.831,0.0,0.406,0.433,82.143,67069,4,Change Upon Change By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:2JFLfPIQFADLj6hUk8AOuC,0.666,0.205,11,-20.11,0,0.945,0.758,0.0,0.103,0.644,89.815,107611,4,A Woman's Shortcomings By Elizabeth Barrett Browning,Elizabeth Barrett Browning
spotify:track:5XEAV5D4h9CS29YFKOkxYK,0.684,0.0882,7,-24.087,0,0.953,0.758,0.0,0.313,0.256,86.982,2336803,3,Sonnets From The Portguese,Elizabeth Barrett Browning
spotify:track:2TcUaFW2u7SRVGFeXsUMlV,0.73,0.146,8,-24.276,1,0.967,0.721,0.0,0.297,0.262,86.839,74966,4,Elizabeth Barrett Browning - To My Father on His Birthday,Ghizela Rowe
spotify:track:65JMJUm1FwWbjRejxckR5V,0.55,0.0436,1,-27.944,1,0.635,0.663,0.0,0.23,0.285,85.948,613067,3,The Bishop Orders His Tomb,James Mason
spotify:track:2CUuFtUxAd95SE8GB6wS62,0.533,0.0216,1,-30.202,1,0.428,0.797,0.0,0.11,0.218,82.761,1048467,4,Andrea Del Sarto,James Mason
spotify:track:7zXgxqQGkg0FMl1CHXs9dA,0.679,0.29,9,-22.21,1,0.939,0.494,0.0,0.304,0.356,89.532,185620,4,My Last Duchess - Robert Browning,Richard Mitchley
spotify:track:3SvAagCW5MeMmylOqHf8kh,0.714,0.0624,11,-22.856,1,0.915,0.703,0.0,0.12,0.327,110.987,57568,3,Now - Robert Browning,Ghizela Rowe
spotify:track:29Sh5bIaEs2LyW4hTECPBV,0.718,0.267,9,-25.982,1,0.818,0.516,0.0,0.275,0.401,115.861,112796,5,In 3 Days - Robert Browning,Richard Mitchley
spotify:track:2lD3Djap997S1JuDJgL6t8,0.734,0.191,1,-25.337,0,0.937,0.573,0.0,0.12,0.724,87.236,54613,4,Life in a Bottle - Robert Browning,Richard Mitchley
spotify:track:22Mme5vsZ688TMUieIHdx3,0.756,0.857,2,-4.185,1,0.336,0.0452,0.0,0.121,0.688,140.017,212640,4,Wild for the Night (feat. Skrillex & Birdy Nam Nam),"A$AP Rocky,Skrillex,Birdy Nam Nam,Lord Flacko"
spotify:track:5CnQvqtyUsfEAP5ZmsrpeI,0.517,0.573,11,-8.147,0,0.342,0.303,1.19e-06,0.108,0.205,173.77,218907,3,Sweet Talk,Jessie Ware
spotify:track:1DZfcSkibPHM9h8lPFT7LT,0.517,0.978,9,-4.053,1,0.381,0.00351,0.403,0.0848,0.38,220.169,247693,4,Blow the Roof,Flux Pavilion
spotify:track:1WIfWj5skn5UUZTs4cEFBe,0.799,0.436,1,-9.975,0,0.379,0.283,0.000105,0.0968,0.311,80.028,217566,4,Location,Khalid
spotify:track:6RX5iL93VZ5fKmyvNXvF1r,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,227853,4,Irreplaceable,Beyoncé
spotify:track:3I32fECHJN9BvjtvpaAEDg,0.87,0.591,8,-6.322,1,0.424,0.263,0.0,0.483,0.539,80.018,253707,4,This Is Why I'm Hot - Album Version (Edited),MiMS
spotify:track:5blkgkItJK6s3ZhVxn6hqB,0.556,0.857,1,-5.764,1,0.338,0.126,0.0,0.104,0.429,118.966,233267,5,We Fly High,Jim Jones
spotify:track:6nbRXoZJAWlHtnWcPAY9Or,0.802,0.689,0,-6.264,1,0.343,0.0227,0.0,0.415,0.838,144.096,269973,4,"Pop, Lock & Drop It (feat. Bow Wow & T-Pain) - Remix","Huey,Bow Wow,T-Pain"
spotify:track:1x0gAzMSpHsS5e6NqKI9eV,0.411,0.873,5,-6.016,0,0.46,0.1,0.0,0.306,0.743,130.009,273133,5,You,"Lloyd,Lil Wayne"
spotify:track:6nSEbFrbRFAiT5R3cWR3IL,0.704,0.881,11,-4.72,1,0.949,0.747,0.0,0.827,0.375,79.897,106120,3,Motley Crue Tour vs. Aziz Tour,Aziz Ansari
spotify:track:4aZWedhPEcYkZXAemZEHBC,0.645,0.756,6,-5.425,1,0.925,0.813,0.0,0.688,0.422,114.118,232693,5,Jay-Z New Year's Story,Aziz Ansari
spotify:track:1zqav5PRJlVCeZLZwemss5,0.572,0.814,10,-4.79,0,0.907,0.813,0.0,0.417,0.273,76.877,240507,4,R. Kelly Online Video Dictionary,Aziz Ansari
spotify:track:2WohGlK71bEl1a7xDgf88s,0.704,0.466,0,-8.853,1,0.932,0.858,0.0,0.736,0.531,106.797,108320,3,Simple Man Cruise,Aziz Ansari
spotify:track:2f8MjDEJbEdVd4u9HvG9T3,0.636,0.583,1,-7.808,1,0.95,0.835,0.0,0.755,0.389,97.5,214613,4,MTV's Next,Aziz Ansari
spotify:track:4G8f7ZK9hg4ygOEJOW2GAw,0.63,0.432,5,-10.292,0,0.947,0.881,0.0,0.834,0.646,135.505,88560,3,Bonnaroo,Aziz Ansari
spotify:track:1b1nWYKuJZEUthmNzCpseJ,0.646,0.397,8,-14.764,1,0.922,0.814,0.0,0.868,0.83,111.984,40907,3,Something Cool To Say To M.I.A.,Aziz Ansari
spotify:track:1mCUYpR3ZtwaqvcdCjgLuT,0.598,0.496,5,-10.865,1,0.958,0.866,0.0,0.864,0.373,83.078,241373,4,A Night Out With Kanye West,Aziz Ansari
spotify:track:70aSMOtrIMHL1CAdoyxFrZ,0.65,0.536,6,-8.428,0,0.954,0.845,0.0,0.825,0.476,70.642,131053,3,Kanye West vs. Darwish,Aziz Ansari
spotify:track:4IXMdUloqh2U9uXD9KZjJn,0.645,0.629,8,-7.591,1,0.954,0.804,0.0,0.978,0.26,139.164,340053,3,R Kelly: The Pied Piper Of R&B,Aziz Ansari
spotify:track:1uvU8CY55MVGC8NnzaZYj8,0.604,0.697,10,-8.168,0,0.923,0.767,0.0,0.768,0.51,86.67,162040,5,Alicia Keys,Maria Bamford
spotify:track:1xfCL2cqMPGQQUOjOhDSEn,0.478,0.667,10,-14.716,0,0.929,0.89,1.23e-06,0.444,0.425,80.165,236893,5,"Selling CDs, Springsteen At Bar, Moore At Party, Gawker",Todd Barry
spotify:track:6IgL22elfFJInTYcgefrv5,0.421,0.748,1,-15.769,1,0.946,0.528,0.000131,0.648,0.437,149.236,23560,4,Food Or Music?,Todd Barry
spotify:track:7oJ7NO2sRdFCGFMnkvEKua,0.629,0.696,11,-14.022,1,0.941,0.842,1.74e-06,0.602,0.488,68.596,60253,5,MTV Diary,Todd Barry
spotify:track:4a3PID2ilQ0wpBdhCMcs7s,0.595,0.495,8,-14.402,0,0.946,0.872,0.0,0.77,0.607,91.289,51720,4,Behind The Music,Todd Barry
spotify:track:1j08mFmfgfCWHC6jyKgPXX,0.633,0.396,6,-15.973,1,0.9,0.886,0.0,0.59,0.69,58.559,30840,4,Grammy Awards,Todd Barry
spotify:track:7BK7GRPbR8k30k1PsGd7nP,0.431,0.762,7,-12.657,1,0.937,0.903,0.0,0.707,0.628,74.746,53040,1,Band With Orchestra,Todd Barry
spotify:track:0GN8JwhW2AOP9uWyO2xvWB,0.514,0.566,11,-12.691,1,0.942,0.795,0.0,0.72,0.643,84.933,43960,5,Boxed Sets,Todd Barry
spotify:track:1GWRe38ZTW1CmJoCYS9EcY,0.565,0.556,9,-13.31,0,0.937,0.767,0.0,0.594,0.507,90.135,48973,5,Behind Stage,Todd Barry
