artist_name,track_id,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
Preschool Kids,5H3D4mmNu6poLBKABbwFD6,Baa Baa Black Sheep,0.512,0.631,125145,0.337,0.00132,9,0.1009999999999999,-6.725,1,0.0271,78.983,4,0.299,0
Waka Flocka Flame,3WljEX77ZEkGN8bP3dBY50,Luv Da Gun Sound,0.128,0.516,215616,0.7759999999999999,0.0,7,0.3329999999999999,-6.854,1,0.278,140.058,4,0.527,25
Johann Sebastian Bach,2XSMwqZKr6FnsRtN1wc9Ck,"Flute Sonata in E Major, BWV 1035: II. Allegro",0.908,0.506,193533,0.149,3.06e-05,3,0.0604,-19.549,1,0.0385,104.406,4,0.8420000000000001,19
La Pepe,1NAkjq9yvkryYOXK4HtsA0,Tarde,0.34,0.532,232218,0.439,0.000565,7,0.114,-10.244000000000002,1,0.0278,90.228,4,0.132,40
Los Corazones Solitarios,5vILhPBcQCJ0jq9oykH2DY,No Llores Más,0.285,0.534,193867,0.321,9.67e-06,0,0.151,-12.633,1,0.0321,94.892,4,0.475,1
Dirty Heads,1PBN2ZKjsLaN9yBqhJdJ6u,God Damn Liar,0.00887,0.723,181167,0.821,0.0,1,0.212,-5.23,0,0.0453,146.065,4,0.672,36
POLIÇA,3HVixiMpKHq116nsxXXK3w,Cursed,0.0752,0.416,234080,0.893,0.00282,5,0.109,-7.596,0,0.429,132.119,4,0.146,18
TULIMERI,1dZg8H1ITCQNcyLpTeIVZU,The Dance of the Northern Lights,0.161,0.618,211212,0.597,0.000344,9,0.172,-7.735,0,0.0294,120.068,4,0.481,14
Johann Sebastian Bach,690wJqLdtkfoGOLBooZ3WU,"Concerto for Two Violins and Orchestra in D Minor, BWV 1043: III. Allegro",0.8909999999999999,0.56,300347,0.2739999999999999,3.85e-05,2,0.184,-15.885,0,0.0459,94.849,3,0.8859999999999999,11
Antonio Vivaldi,5BW5S5LXp5ZYGrqMjqELZI,"Le Quattro Stagioni - Concerto No. 1, Op. 8 RV 269: La Primavera (Spring) III. Allegro",0.737,0.284,228787,0.0516,0.0002089999999999,3,0.0609,-24.459,1,0.0383,107.608,4,0.2289999999999999,30
Robin Thicke,2430AdAg5uyyqSL3nzIF9a,Blurred Lines,0.00311,0.8440000000000001,263827,0.616,7.15e-06,7,0.0817,-4.855,1,0.0382,119.98,4,0.813,21
Masterboy,7FM6VwHNF3EWQTyiloogTV,Are You Ready (We Love the 90s) - Rob & Chris 90s Edit,0.0108,0.647,216116,0.962,2.34e-05,9,0.12,-3.591,0,0.143,137.996,4,0.581,22
